"Title","Duration","Year","Rating","Votes"
"The Shawshank Redemption",142,"1994",9.3,2800000
"The Godfather",175,"1972",9.2,2e+06
"The Dark Knight",152,"2008",9,2800000
"The Godfather Part II",202,"1974",9,1300000
"12 Angry Men",96,"1957",9,842000
"Schindler's List",195,"1993",9,1400000
"The Lord of the Rings: The Return of the King",201,"2003",9,1900000
"Pulp Fiction",154,"1994",8.9,2200000
"The Lord of the Rings: The Fellowship of the Ring",178,"2001",8.8,2e+06
"The Good, the Bad and the Ugly",178,"1966",8.8,796000
"Forrest Gump",142,"1994",8.8,2200000
"Fight Club",139,"1999",8.8,2300000
"The Lord of the Rings: The Two Towers",179,"2002",8.8,1700000
"Inception",148,"2010",8.8,2500000
"Star Wars: Episode V - The Empire Strikes Back",124,"1980",8.7,1400000
"The Matrix",136,"1999",8.7,2e+06
"Goodfellas",145,"1990",8.7,1200000
"One Flew Over the Cuckoo's Nest",133,"1975",8.7,1100000
"Se7en",127,"1995",8.6,1800000
"It's a Wonderful Life",130,"1946",8.6,483000
"Seven Samurai",207,"1954",8.6,361000
"Interstellar",169,"2014",8.7,2e+06
"The Silence of the Lambs",118,"1991",8.6,1500000
"Saving Private Ryan",169,"1998",8.6,1500000
"City of God",130,"2002",8.6,787000
"Life Is Beautiful",116,"1997",8.6,729000
"The Green Mile",189,"1999",8.6,1400000
"Spider-Man: Across the Spider-Verse",140,"2023",8.7,304000
"Star Wars: Episode IV - A New Hope",121,"1977",8.6,1400000
"Terminator 2: Judgment Day",137,"1991",8.6,1200000
"Back to the Future",116,"1985",8.5,1300000
"Spirited Away",125,"2001",8.6,821000
"The Pianist",150,"2002",8.5,888000
"Psycho",109,"1960",8.5,705000
"Parasite",132,"2019",8.5,906000
"Gladiator",155,"2000",8.5,1600000
"The Lion King",88,"1994",8.5,1100000
"Léon: The Professional",110,"1994",8.5,1200000
"American History X",119,"1998",8.5,1200000
"The Departed",151,"2006",8.5,1400000
"Whiplash",106,"2014",8.5,948000
"The Prestige",130,"2006",8.5,1400000
"The Usual Suspects",106,"1995",8.5,1100000
"Grave of the Fireflies",89,"1988",8.5,3e+05
"Harakiri",133,"1962",8.6,65000
"Casablanca",102,"1942",8.5,596000
"The Intouchables",112,"2011",8.5,907000
"Modern Times",87,"1936",8.5,255000
"Cinema Paradiso",155,"1988",8.5,277000
"Once Upon a Time in the West",166,"1968",8.5,344000
"Rear Window",112,"1954",8.5,513000
"Alien",117,"1979",8.5,929000
"City Lights",87,"1931",8.5,193000
"Apocalypse Now",147,"1979",8.4,697000
"Django Unchained",165,"2012",8.5,1700000
"Memento",113,"2000",8.4,1300000
"Raiders of the Lost Ark",115,"1981",8.4,1e+06
"WALL·E",98,"2008",8.4,1200000
"The Lives of Others",137,"2006",8.4,404000
"Oppenheimer",180,"2023",8.5,524000
"Sunset Blvd.",110,"1950",8.4,232000
"Paths of Glory",88,"1957",8.4,208000
"Avengers: Infinity War",149,"2018",8.4,1200000
"The Shining",146,"1980",8.4,1100000
"Spider-Man: Into the Spider-Verse",117,"2018",8.4,643000
"The Great Dictator",125,"1940",8.4,234000
"Witness for the Prosecution",116,"1957",8.4,134000
"Aliens",137,"1986",8.4,749000
"Inglourious Basterds",153,"2009",8.4,1500000
"The Dark Knight Rises",164,"2012",8.4,1800000
"American Beauty",122,"1999",8.3,1200000
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",95,"1964",8.4,510000
"Oldboy",120,"2003",8.4,618000
"Coco",105,"2017",8.4,566000
"Amadeus",160,"1984",8.4,420000
"Toy Story",81,"1995",8.3,1e+06
"Das Boot",149,"1981",8.4,261000
"Braveheart",178,"1995",8.3,1100000
"Avengers: Endgame",181,"2019",8.4,1200000
"Joker",122,"2019",8.4,1400000
"Princess Mononoke",134,"1997",8.3,420000
"Good Will Hunting",126,"1997",8.3,1e+06
"Your Name.",106,"2016",8.4,305000
"Once Upon a Time in America",229,"1984",8.3,370000
"High and Low",143,"1963",8.4,51000
"3 Idiots",170,"2009",8.4,422000
"Singin' in the Rain",103,"1952",8.3,255000
"Capernaum",126,"2018",8.4,101000
"Requiem for a Dream",102,"2000",8.3,882000
"Come and See",142,"1985",8.4,92000
"Toy Story 3",103,"2010",8.3,876000
"Star Wars: Episode VI - Return of the Jedi",131,"1983",8.3,1100000
"Eternal Sunshine of the Spotless Mind",108,"2004",8.3,1100000
"2001: A Space Odyssey",149,"1968",8.3,705000
"The Hunt",115,"2012",8.3,354000
"Reservoir Dogs",99,"1992",8.3,1100000
"Ikiru",143,"1952",8.3,85000
"Lawrence of Arabia",218,"1962",8.3,308000
"The Apartment",125,"1960",8.3,192000
"Citizen Kane",119,"1941",8.3,459000
"M",99,"1931",8.3,166000
"North by Northwest",136,"1959",8.3,341000
"Vertigo",128,"1958",8.3,420000
"Double Indemnity",107,"1944",8.3,165000
"Amélie",122,"2001",8.3,783000
"Scarface",170,"1983",8.3,894000
"Full Metal Jacket",116,"1987",8.3,776000
